Name (LGA),% burned
Plantagenet,4
Blacktown,0.4
Mansfield,0.9
Upper Lachlan Shire,3.4
Wangaratta,3.4
Devonport,0
Latrobe,0
Georges River,0
Barcaldine,0.5
Flinders,1.4
Hornsby,1.8
Donnybrook-Balingup,2.1
Yorke Peninsula,1.2
Dungog,4.6
Ryde,0
Inner West,0
Latrobe,0
Murweh,0.2
Swan Hill,0
Parramatta,0
Blackall-Tambo,0.2
Buloke,0
Gannawarra,0
Campbelltown,0
Katanning,2.8
Strathbogie,0.1
Barcoo,0
Boulia,0
Bulloo,0
Diamantina,0
Longreach,0
Quilpie,0
Winton,0
Wagga Wagga,1.9
Franklin Harbour,1.5
Yarriambiack,0
The Coorong,1.6
Sunshine Coast,1.2
Nannup,1.4
Richmond,0.6
Tweed,1.3
Wyndham,0
Bridgetown-Greenbushes,1.2
Sutherland Shire,0
Strathfield,0
Alexandrina,0
Tatiara,0
Northern Beaches,0
Mackay,3.2
Ravensthorpe,3.2
Copper Coast,0
Lake Macquarie,2.9
McKinlay,0
Canada Bay,0
Logan,0.1
Burwood,0
Barossa,0
Irwin,0.3
Ipswich,0.1
Carnamah,0.2
Upper Hunter Shire,2.7
Camden,0
North Sydney,0
Ku-ring-gai,0
Moreton Bay,0.7
Hunters Hill,0
Greater Shepparton,0
Murray Bridge,0.4
Coorow,0
Mingenew,0
Three Springs,0
Lane Cove,0
Cootamundra-Gundagai Regional,0.7
Light,0.1
Orange,0
Ceduna,0
Cleve,0
Kimba,0
Streaky Bay,0
Wudinna,0
Port Stephens,0.6
Southern Mallee,0.1
Willoughby,0
Mosman,0
Karoonda East Murray,0
Loxton Waikerie,0
Mid Murray,0
Renmark Paringa,0
Karratha,2.5
Barunga West,0.1
Wakefield,0.1
Cranbrook,0.7
Adelaide Plains,0
Clare and Gilbert Valleys,0
Goyder,0
Berrigan,0
Redland,1.9
Yass Valley,0
Griffith,0
Central Desert,0.1
Benalla,0
Albany,0.3
Central Highlands,1.4
Ashburton,1.7
Broomehill-Tambellup,0
Jerramungup,0
Kent,0
Kojonup,0
Dandaragan,0.2
Moira,0
Newcastle,0
Wodonga,0.7
Warrumbungle Shire,0.6
Beverley,0
Bruce Rock,0
Kellerberrin,0
Moora,0
Narembeen,0
Quairading,0
Isaac,0.4
Wollongong,0.1
Rockhampton,0.5
Indigo,0
Flinders Ranges,0
Busselton,0.9
Woorabinda,0
Mount Remarkable,0.1
Northern Areas,0.1
Orroroo/Carrieton,0
Peterborough,0
Brookton,0
Corrigin,0
Dumbleyung,0
Kulin,0
Pingelly,0
Wickepin,0
Albury,0
Maitland,0
Shellharbour,0
Kiama,0
Brimbank,0
Belyuen,82.9
Hume,0.4
Napranum,74.9
Aurukun,62.2
Pormpuraaw,57.2
Whittlesea,0
Melton,0
Kowanyama,51.5
Moreland,0
West Arnhem,45.3
Melbourne,0
Casey,0
West Daly,43.1
Coomalie,38.7
Unincorporated NT,41.4
Cook,41.3
Moonee Valley,0
Wyndham-East Kimberley,35
Litchfield,33.8
Mareeba,32.6
Darebin,0
Maribyrnong,0
East Arnhem,30.5
Greater Dandenong,0
Mapoon,30.7
Tiwi Islands,23.8
Lockhart River,27.9
Carpentaria,22.2
Hobsons Bay,0
Yarra,0
Victoria Daly,18
Wagait,16.7
Kondinin,20.8
Banyule,0
Tablelands,17.8
Adelaide Hills,19.1
Monash,0
Roper Gulf,15.3
Greater Geelong,0
Port Phillip,0
Kingston,0
Wujal Wujal,16.7
Derby-West Kimberley,13.2
Mornington,11.8
Bayside,0
Frankston,0
Wanneroo,14.6
Etheridge,15
Yarra Ranges,0
Northern Peninsula Area,14.7
Stonnington,0
Boroondara,0
Glen Eira,0
Whitehorse,0
Break O'Day,6.6
Cardinia,0
Mount Barker,11.9
Colac-Otway,0.1
Katherine,8.2
Mornington Peninsula,0
Glamorgan/Spring Bay,1.9
Doomadgee,7.6
Kingston,6.8
Knox,0
Manningham,0
Tasman,0.5
Palmerston,9.4
Hinchinbrook,9
Weipa,9.1
Greater Bendigo,0.1
Broome,6.1
Dundas,7.3
Maroondah,0
Moorabool,0
Mitchell,0
Nillumbik,0
Townsville,5.3
Hepburn,0.1
Southern Midlands,0.5
South Gippsland,0
Macedon Ranges,0.1
Bass Coast,0
Ballarat,0
Northern Midlands,0.1
Collie,6.7
Central Highlands,0.1
Dorset,0
George Town,0
West Tamar,0.3
Meander Valley,0
Dardanup,6.3
Golden Plains,0.3
Laverton,4.9
Derwent Valley,0.7
Corangamite,0
Mount Alexander,0
Baw Baw,0
Burke,1.9
Kentish,0
Loddon,0
Central Goldfields,0
Gingin,4.1
West Coast,0.7
Circular Head,0.6
Surf Coast,0
Glenelg,1.1
Armadale,5.2
Horsham,0.1
Torres,5.2
Kalgoorlie/Boulder,3.6
Yilgarn,3.5
Maralinga Tjarutja,1.9
West Wimmera,0.4
Queenscliffe,0
Mount Isa,1.1
Central Coast,0
King Island,0
Waratah/Wynyard,0
Ararat,0
Serpentine-Jarrahdale,4
Burnie,0
Launceston,0
Douglas,2.2
Hindmarsh,0.1
Adelaide,0
Northern Grampians,0
Cairns,1.4
Campaspe,0.2
Charters Towers,4.1
Yankalilla,0.3
Murrindindi,0
Hope Vale,4.3
Wattle Range,0.1
Victoria Plains,2.6
Boyup Brook,1.1
Grant,0
Mount Gambier,0
Naracoorte and Lucindale,0
Robe,0
Victor Harbor,0
Cloncurry,0.2
Halls Creek,1.1
Sorell,0
Coolgardie,2.3
Meekatharra,0.4
Port Hedland,1.5
Hobart,0
Anangu Pitjantjatjara,2.3
Unincorporated Vic,0.4
Brighton,0
Clarence,0
Sandstone,0.2
Darwin,2.7
Manjimup,0.4
Wiluna,0.1
Southern Grampians,0
Chapman Valley,0
Cue,0
Greater Geraldton,0
Morawa,0
Mount Magnet,0
Murchison,0
Northampton,0
Perenjori,0
Yalgoo,0
Elliston,0.1
Lower Eyre Peninsula,0.1
Moyne,0.9
Port Lincoln,0
Tumby Bay,0
Whyalla,0
Huon Valley,0
Whitsunday,0.7
East Pilbara,0.8
Berri and Barmera,0
Croydon,2.9
Glenorchy,0
Cherbourg,0
Warrnambool,0
Mundaring,2.3
Cassowary Coast,1.3
Woodanilling,0.3
Gawler,0
Menzies,0.7
MacDonnell,0.2
Murray,1.4
Ngaanyatjarraku,0.4
Mount Marshall,0.3
Northam,0.3
Belmont,0
Subiaco,0
Victoria Park,0
Vincent,0
Alice Springs,0
Kingborough,0.1
Playford,0
Leonora,0.2
Toodyay,0.1
Wongan-Ballidu,0.1
Unincorporated SA,0.1
Port Adelaide Enfield,0
Chittering,0
Cunderdin,0
Dalwallinu,0
Dowerin,0
East Fremantle,0
Fremantle,0
Goomalling,0
Koorda,0
Merredin,0
Mukinbudin,0
Nungarin,0
Tammin,0
Trayning,0
Westonia,0
Wyalkatchem,0
York,0
Canning,0
Perth,0
Onkaparinga,0.2
Coober Pedy,0
Port Augusta,0
Roxby Downs,0
Salisbury,0
Charles Sturt,0
Norwood Payneham St Peters,0
Yarrabah,0
Harvey,0.9
Kwinana,0.8
Campbelltown,0
Gosnells,0
Stirling,0
Holdfast Bay,0
Marion,0
West Torrens,0
Wandering,0.2
Bassendean,0
Bayswater,0
Kalamunda,0.9
Waroona,0.6
Port Pirie City and Dists,0
Boddington,0
Cambridge,0
Cuballing,0
Narrogin,0
Wagin,0
West Arthur,0
Williams,0
Swan,0.4
Burnside,0
Burdekin,0.1
Mandurah,0
South Perth,0
Prospect,0
Tea Tree Gully,0
Walkerville,0
Palm Island,0
Cockburn,0
Mitcham,0
Unley,0
Carnarvon,0.1
Bunbury,0
Capel,0
Rockingham,0.4
Augusta-Margaret River,0
Claremont,0
Cottesloe,0
Exmouth,0
Mosman Park,0
Nedlands,0
Peppermint Grove,0
Shark Bay,0
Upper Gascoyne,0
Torres Strait Island,0
Melville,0
Joondalup,0

